axis1,axis2,axis3,axis4,axis5
150.5934,240.2651,235.6344,128.025,263.091
150.5934,240.2651,235.6344,128.025,263.091
150.5934,240.2651,235.6344,128.025,263.091
150.5934,240.2651,235.6344,128.025,263.091
149.738,239.4466,235.3612,133.6875,268.2319
149.738,239.4466,235.3612,133.6875,268.2319
149.738,239.4466,235.3612,133.6875,268.2319
149.738,239.4466,235.3612,133.6875,268.2319
149.738,239.4466,235.3612,133.6875,268.2319
149.738,239.4466,235.3612,133.6875,268.2319
148.7725,238.5354,235.1647,139.4923,274.0187
148.7725,238.5354,235.1647,139.4923,274.0187
148.7725,238.5354,235.1647,139.4923,274.0187
148.7725,238.5354,235.1647,139.4923,274.0187
148.7725,238.5354,235.1647,139.4923,274.0187
147.6499,237.5325,235.5873,134.5254,273.2717
147.6499,237.5325,235.5873,134.5254,273.2717
147.6499,237.5325,235.5873,134.5254,273.2717
147.6499,237.5325,235.5873,134.5254,273.2717
146.5129,236.5567,236.5066,128.8526,271.5175
146.5129,236.5567,236.5066,128.8526,271.5175
146.5129,236.5567,236.5066,128.8526,271.5175
146.5129,236.5567,236.5066,128.8526,271.5175
146.5129,236.5567,236.5066,128.8526,271.5175
145.4915,235.6753,237.4751,122.9252,269.1031
145.4915,235.6753,237.4751,122.9252,269.1031
145.4915,235.6753,237.4751,122.9252,269.1031
145.4915,235.6753,237.4751,122.9252,269.1031
145.4915,235.6753,237.4751,122.9252,269.1031
145.4915,235.6753,237.4751,122.9252,269.1031
144.6477,234.9231,238.2476,117.0607,266.0972
144.6477,234.9231,238.2476,117.0607,266.0972
144.6477,234.9231,238.2476,117.0607,266.0972
144.6477,234.9231,238.2476,117.0607,266.0972
144.6477,234.9231,238.2476,117.0607,266.0972
143.9782,234.3016,238.7236,111.5912,262.6392
143.9782,234.3016,238.7236,111.5912,262.6392
143.9782,234.3016,238.7236,111.5912,262.6392
143.9782,234.3016,238.7236,111.5912,262.6392
143.094,233.518,240.242,105.2345,258.4576
143.094,233.518,240.242,105.2345,258.4576
143.094,233.518,240.242,105.2345,258.4576
143.094,233.518,240.242,105.2345,258.4576
142.2113,232.7165,241.5569,98.169,253.8674
142.2113,232.7165,241.5569,98.169,253.8674
142.2113,232.7165,241.5569,98.169,253.8674
142.2113,232.7165,241.5569,98.169,253.8674
141.3721,231.9409,242.6564,91.10032,249.1513
141.3721,231.9409,242.6564,91.10032,249.1513
141.3721,231.9409,242.6564,91.10032,249.1513
141.3721,231.9409,242.6564,91.10032,249.1513
140.5676,231.1938,243.55,84.4087,244.4183
140.5676,231.1938,243.55,84.4087,244.4183
140.5676,231.1938,243.55,84.4087,244.4183
140.5676,231.1938,243.55,84.4087,244.4183
140.5676,231.1938,243.55,84.4087,244.4183
140.5676,231.1938,243.55,84.4087,244.4183
139.8053,230.476,244.1587,78.22331,239.6864
139.8053,230.476,244.1587,78.22331,239.6864
139.8053,230.476,244.1587,78.22331,239.6864
139.8053,230.476,244.1587,78.22331,239.6864
139.8053,230.476,244.1587,78.22331,239.6864
139.8291,230.2892,241.585,84.30717,241.7206
139.8291,230.2892,241.585,84.30717,241.7206
139.8291,230.2892,241.585,84.30717,241.7206
